molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors,pIC50,Classification
CHEMBL455657,CN[C@H]1CCN(C(=O)c2ccc(Nc3ncc(F)c(-c4cnc(C)n4C(C)C)n3)cc2)C1,IC50,=,2.0,nM,437.52300000000025,3.546020000000002,2.0,7.0,8.698970004336019,1
CHEMBL510566,C[C@@H]1CNC[C@@H](C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)C1,IC50,=,200.0,nM,394.5660000000002,3.905000000000003,2.0,7.0,6.698970004336019,0
CHEMBL452602,C[C@@H]1CNC[C@H](C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)C1,IC50,=,20.0,nM,394.5660000000002,3.905000000000003,2.0,7.0,7.698970004336019,1
CHEMBL452601,C[C@H]1CNC[C@H](C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)C1,IC50,=,5.0,nM,394.5660000000002,3.905000000000003,2.0,7.0,8.301029995663981,1
CHEMBL455450,C[C@H]1CNC[C@@H](C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)C1,IC50,=,36.0,nM,394.5660000000002,3.905000000000003,2.0,7.0,7.443697499232712,1
CHEMBL454646,CC1CNCC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)C1,IC50,=,140.0,nM,394.5660000000002,3.905000000000003,2.0,7.0,6.853871964321762,0
CHEMBL454645,CC1CCC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)CN1,IC50,=,14.0,nM,394.56600000000014,4.047500000000003,2.0,7.0,7.853871964321762,1
CHEMBL508506,CC1NCCCC1C(=O)Nc1ncc(SCc2ncc(C(C)(C)C)o2)s1,IC50,=,95.0,nM,394.56600000000014,4.047500000000003,2.0,7.0,7.022276394711152,1
CHEMBL297570,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCCNC3)s2)o1,IC50,=,20.0,nM,380.53900000000016,3.6590000000000016,2.0,7.0,7.698970004336019,1
CHEMBL509012,CC(C)C1CC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)CCN1,IC50,=,17.0,nM,422.62000000000023,4.683600000000004,2.0,7.0,7.769551078621726,1
CHEMBL455195,CCC1CC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)CCN1,IC50,=,3.0,nM,408.5930000000002,4.437600000000003,2.0,7.0,8.522878745280337,1
CHEMBL455194,CC1CC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)CCN1,IC50,=,15.0,nM,394.5660000000002,4.047500000000003,2.0,7.0,7.823908740944319,1
CHEMBL503236,N[C@@H](CCCN/C=C1\C(=O)Nc2ccc(Br)cc21)C(=O)O,IC50,=,6600.0,nM,354.2040000000001,1.5237999999999998,4.0,4.0,5.180456064458132,0
