smiles,molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors,pIC50,Classification
C[C@H](O)CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)C[C@@H]1C,CHEMBL3955667,C[C@H](O)CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)C[C@@H]1C,IC50,=,1920.0,nM,504.6390000000005,2.8640000000000008,3.0,9.0,5.71669877129645,0
CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1(C)C,CHEMBL3973056,CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1(C)C,IC50,=,3480.0,nM,474.6130000000004,3.5031000000000025,2.0,8.0,5.458420756053419,0
CC(C)C1CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CCN1,CHEMBL3943554,CC(C)C1CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CCN1,IC50,=,695.0,nM,474.6130000000004,3.4069000000000003,3.0,8.0,6.158015195409887,0
O=C1NCC2(CCCCC2)n2c1cc1cnc(Nc3ccc(N4CCN(C5CCC5)CC4)cn3)nc12,CHEMBL3967732,O=C1NCC2(CCCCC2)n2c1cc1cnc(Nc3ccc(N4CCN(C5CCC5)CC4)cn3)nc12,IC50,=,628.0,nM,486.62400000000036,3.6472000000000016,2.0,8.0,6.202040356262804,0
CC1CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CCN1CCC(C)(C)C,CHEMBL3934575,CC1CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CCN1CCC(C)(C)C,IC50,=,2580.0,nM,530.7210000000006,4.919400000000004,2.0,8.0,5.58838029403677,0
CC1(C)CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CCN1CC1CC1,CHEMBL3956661,CC1(C)CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CCN1CC1CC1,IC50,=,1520.0,nM,514.6780000000006,4.283300000000001,2.0,8.0,5.818156412055227,0
CC1(C)CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CCN1,CHEMBL3929122,CC1(C)CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CCN1,IC50,=,2120.0,nM,460.58600000000035,3.1609,3.0,8.0,5.6736641390712474,0
C[C@@H](O)CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)C[C@H]1C,CHEMBL4113081,C[C@@H](O)CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)C[C@H]1C,IC50,=,5110.0,nM,504.6390000000005,2.8640000000000008,3.0,9.0,5.291579099865287,0
CC1CCN(C2CCN(c3ccc(Nc4ncc5cc6n(c5n4)C4(CCCCC4)CNC6=O)nc3)CC2)C1,CHEMBL3920205,CC1CCN(C2CCN(c3ccc(Nc4ncc5cc6n(c5n4)C4(CCCCC4)CNC6=O)nc3)CC2)C1,IC50,=,1070.0,nM,514.6780000000006,4.283300000000003,2.0,8.0,5.97061622231479,0
CC(C)N1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)C[C@H]1C,CHEMBL4109276,CC(C)N1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)C[C@H]1C,IC50,=,4530.0,nM,488.64000000000055,3.8916000000000017,2.0,8.0,5.343901797987168,0
C[C@H]1CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CCN1CCC(C)(C)C,CHEMBL3981462,C[C@H]1CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CCN1CCC(C)(C)C,IC50,=,2280.0,nM,530.7210000000006,4.919400000000004,2.0,8.0,5.642065152999545,0
O=C1NCC2(CCCCC2)n2c1cc1cnc(Nc3ccc(N4CCC(N5CCCCC5)CC4)cn3)nc12,CHEMBL3915889,O=C1NCC2(CCCCC2)n2c1cc1cnc(Nc3ccc(N4CCC(N5CCCCC5)CC4)cn3)nc12,IC50,=,1500.0,nM,514.6780000000006,4.427400000000004,2.0,8.0,5.823908740944319,0
CN(C)C1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,CHEMBL3943841,CN(C)C1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,IC50,=,41410.0,nM,474.6130000000005,3.5031000000000025,2.0,8.0,4.3828947694976215,0
C[C@H]1CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)C[C@@H](C)N1,CHEMBL3906916,C[C@H]1CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)C[C@@H](C)N1,IC50,=,3560.0,nM,460.58600000000035,3.1593000000000013,3.0,8.0,5.448550002027125,0
O=C1NCC2(CCCCC2)n2c1cc1cnc(Nc3ccc(N4CCNCC4)cn3)nc12,CHEMBL3890528,O=C1NCC2(CCCCC2)n2c1cc1cnc(Nc3ccc(N4CCNCC4)cn3)nc12,IC50,=,1080.0,nM,432.5320000000002,2.3823,3.0,8.0,5.966576244513051,0
C[C@H]1CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CCN1C,CHEMBL3901454,C[C@H]1CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CCN1C,IC50,=,1920.0,nM,460.58600000000035,3.1130000000000013,2.0,8.0,5.71669877129645,0
C[C@@H](O)CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,CHEMBL4115060,C[C@@H](O)CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,IC50,=,1250.0,nM,490.61200000000053,2.4755000000000003,3.0,9.0,5.903089986991943,0
CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,CHEMBL3894860,CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,IC50,=,1660.0,nM,446.55900000000037,2.7245000000000013,2.0,8.0,5.779891911959945,0
O=C1NCC2(CCCCC2)n2c1cc1cnc(Nc3ccc(N4CCC(N5CCOCC5)CC4)cn3)nc12,CHEMBL3919361,O=C1NCC2(CCCCC2)n2c1cc1cnc(Nc3ccc(N4CCC(N5CCOCC5)CC4)cn3)nc12,IC50,=,1460.0,nM,516.6500000000004,3.2737000000000016,2.0,9.0,5.835647144215562,0
C[C@@H]1CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CCN1,CHEMBL4111196,C[C@@H]1CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CCN1,IC50,=,3500.0,nM,446.55900000000037,2.7708000000000004,3.0,8.0,5.455931955649724,0
CC1CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CCN1CC(C)(C)O,CHEMBL3925377,CC1CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CCN1CC(C)(C)O,IC50,=,3970.0,nM,518.6660000000005,3.2541000000000024,3.0,9.0,5.401209493236885,0
O=C1NCC2(CCCCC2)n2c1cc1cnc(Nc3ccc(N4CCC(N5CCC(C(F)(F)F)CC5)CC4)cn3)nc12,CHEMBL3892888,O=C1NCC2(CCCCC2)n2c1cc1cnc(Nc3ccc(N4CCC(N5CCC(C(F)(F)F)CC5)CC4)cn3)nc12,IC50,=,11600.0,nM,582.6750000000002,5.215800000000005,2.0,8.0,4.935542010773082,0
