smiles,molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors,pIC50,Classification
CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC)cc13)N(C)S(=O)(=O)C2,CHEMBL561838,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC)cc13)N(C)S(=O)(=O)C2,IC50,=,91.0,nM,470.59500000000014,1.8622,3.0,6.0,7.040958607678906,1
CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC(C)(C)CCCC(C)C)cc13)N(C)S(=O)(=O)C2,CHEMBL535008,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC(C)(C)CCCC(C)C)cc13)N(C)S(=O)(=O)C2,IC50,=,23.0,nM,582.8110000000003,4.837300000000004,3.0,6.0,7.638272163982407,1
CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CCCCC4)cc13)N(CC)S(=O)(=O)CC2,CHEMBL558582,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CCCCC4)cc13)N(CC)S(=O)(=O)CC2,IC50,=,7.0,nM,566.7680000000003,3.997700000000004,3.0,6.0,8.154901959985743,1
CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CCCCC4)cc13)N(C)S(=O)(=O)CC2,CHEMBL561961,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CCCCC4)cc13)N(C)S(=O)(=O)CC2,IC50,=,9.0,nM,552.7410000000001,3.6076000000000015,3.0,6.0,8.045757490560675,1
CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CC4)cc13)N(CC)S(=O)(=O)CC2,CHEMBL533064,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CC4)cc13)N(CC)S(=O)(=O)CC2,IC50,=,20.0,nM,524.6870000000001,2.8274000000000012,3.0,6.0,7.698970004336019,1
CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CC4)cc13)N(C)S(=O)(=O)CC2,CHEMBL523193,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CC4)cc13)N(C)S(=O)(=O)CC2,IC50,=,20.0,nM,510.6600000000003,2.4373000000000005,3.0,6.0,7.698970004336019,1
COc1ccc(C(Cc2cc([N+](=O)[O-])ccc2OC)c2csc(N)n2)cc1,CHEMBL466025,COc1ccc(C(Cc2cc([N+](=O)[O-])ccc2OC)c2csc(N)n2)cc1,IC50,=,1100.0,nM,385.44500000000016,4.025300000000001,1.0,7.0,5.9586073148417755,0
COc1ccc(C(Cc2ccccc2)c2csc(N)n2)cc1,CHEMBL466782,COc1ccc(C(Cc2ccccc2)c2csc(N)n2)cc1,IC50,=,32000.0,nM,310.422,4.108500000000002,1.0,4.0,4.494850021680094,0
Cc1ccccc1-c1cccc(CN2CCC3(CC2)C(NC2CCCCC2)=NC(=O)N3c2cccc(F)c2)c1,CHEMBL521845,Cc1ccccc1-c1cccc(CN2CCC3(CC2)C(NC2CCCCC2)=NC(=O)N3c2cccc(F)c2)c1,IC50,=,110.0,nM,524.6840000000003,7.096720000000008,1.0,3.0,6.9586073148417755,0
O=C1N=C(NC2CCCCC2)C2(CCN(Cc3cccc(-c4ccccc4)c3)CC2)N1c1cccc(F)c1,CHEMBL522878,O=C1N=C(NC2CCCCC2)C2(CCN(Cc3cccc(-c4ccccc4)c3)CC2)N1c1cccc(F)c1,IC50,=,4600.0,nM,510.65700000000015,6.788300000000008,1.0,3.0,5.337242168318426,0
