molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors,pIC50,Classification
CHEMBL2059596,OC(CSc1ccccc1F)Cn1c2ccccc2c2ccccc21,IC50,=,5360.0,nM,351.4460000000001,5.086800000000004,1.0,3.0,5.27083521030723,0
CHEMBL2059597,Nc1cccc(SCC(O)Cn2c3ccccc3c3ccccc32)c1,IC50,=,36100.0,nM,348.4710000000001,4.529900000000002,2.0,4.0,4.442492798094342,0
CHEMBL2059601,OC(CSc1ccc2ccccc2c1)Cn1c2ccccc2c2ccccc21,IC50,=,4930.0,nM,383.5160000000001,6.100900000000005,1.0,3.0,5.30715308072277,0
CHEMBL2059605,Oc1ccc(SCC(O)Cn2c(-c3ccccc3)cc3ccccc32)cc1,IC50,=,13600.0,nM,375.4930000000001,5.167100000000004,2.0,4.0,4.866461091629782,0
CHEMBL2059606,Oc1ccccc1SCC(O)Cn1c(-c2ccccc2)cc2ccccc21,IC50,=,25400.0,nM,375.49300000000005,5.167100000000003,2.0,4.0,4.5951662833800615,0
CHEMBL2059611,CCc1ccccc1SCC(O)Cn1c(-c2ccccc2)cc2ccccc21,IC50,=,10300.0,nM,387.54800000000006,6.023900000000006,1.0,3.0,4.987162775294828,0
CHEMBL2059613,OC(CSc1ccc2ccccc2c1)Cn1c(-c2ccccc2)cc2ccccc21,IC50,=,6660.0,nM,409.5540000000001,6.614700000000005,1.0,3.0,5.176525770829699,0
CHEMBL2059624,OC(COc1ccc(Cc2ccccc2)cc1)CSc1ccccc1Cl,IC50,=,9600.0,nM,384.9280000000001,5.462800000000004,1.0,3.0,5.017728766960431,0
CHEMBL2059626,Oc1ccc(SCC(O)COc2ccc(Cc3ccccc3)cc2)cc1,IC50,=,10700.0,nM,366.482,4.515000000000003,2.0,4.0,4.97061622231479,0
CHEMBL2058867,c1ccc2cc(SCCCn3c4ccccc4c4ccccc43)ccc2c1,IC50,=,7520.0,nM,367.51700000000005,7.130100000000005,0.0,2.0,5.123782159408358,0
CHEMBL2058868,O[C@H](CSc1ccc2ccccc2c1)Cn1c2ccccc2c2ccccc21,IC50,=,5390.0,nM,383.5160000000001,6.100900000000005,1.0,3.0,5.268411234813262,0
CHEMBL2058869,O[C@@H](CSc1ccc2ccccc2c1)Cn1c2ccccc2c2ccccc21,IC50,=,7980.0,nM,383.5160000000001,6.100900000000005,1.0,3.0,5.09799710864927,0
CHEMBL2058871,NC(CSc1ccc2ccccc2c1)Cn1c2ccccc2c2ccccc21,IC50,=,15700.0,nM,382.5320000000001,6.067300000000004,1.0,3.0,4.804100347590766,0
CHEMBL2058872,NCCNC(CSc1ccc2ccccc2c1)Cn1c2ccccc2c2ccccc21,IC50,=,7380.0,nM,425.60100000000017,5.656900000000005,2.0,4.0,5.131943638176958,0
CHEMBL2058874,OC(CCn1c2ccccc2c2ccccc21)CSc1ccc2ccccc2c1,IC50,=,4310.0,nM,397.54300000000006,6.491000000000005,1.0,3.0,5.3655227298392685,0
CHEMBL2058875,OC(CCSc1ccc2ccccc2c1)Cn1c2ccccc2c2ccccc21,IC50,=,6740.0,nM,397.5430000000001,6.491000000000005,1.0,3.0,5.17134010346468,0
CHEMBL2059100,OC(CSc1ccc2ccccc2c1)C(O)Cn1c2ccccc2c2ccccc21,IC50,=,10100.0,nM,413.54200000000014,5.461800000000005,2.0,4.0,4.995678626217358,0
CHEMBL2059101,OC(Cn1c2ccccc2c2ccccc21)Cn1c2ccccc2c2ccccc21,IC50,=,710.0,nM,390.48600000000005,5.963500000000004,1.0,3.0,6.1487416512809245,0
CHEMBL2059104,OC(Cn1c2ccccc2c2ccccc21)C(O)Cn1c2ccccc2c2ccccc21,IC50,=,8820.0,nM,420.5120000000001,5.324400000000005,2.0,4.0,5.054531414868181,0
CHEMBL2151148,CCc1ccc2c(c1)[C@@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc(-c3ccccn3)c(=O)n(C3CCCC3)c1)CC1(CCC1)O2,IC50,=,3.6,nM,646.8319999999998,6.325900000000006,3.0,7.0,8.443697499232712,1
CHEMBL2151149,CCc1ccc2c(c1)[C@@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(C)=O)CC1(CCC1)O2,IC50,=,110.0,nM,422.56900000000024,3.6932000000000027,3.0,4.0,6.958607314841775,0
CHEMBL2151150,CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ccc(CC(C)(C)C)cc21,IC50,=,7.2,nM,464.6500000000004,4.719400000000005,3.0,4.0,8.142667503568731,1
CHEMBL2151151,CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,IC50,=,5.8,nM,465.6380000000004,4.114400000000003,3.0,5.0,8.236572006437063,1
CHEMBL2151152,CC(=O)N[C@@H](Cc1ccccc1F)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,IC50,=,3.6,nM,483.62800000000044,4.253500000000003,3.0,5.0,8.443697499232712,1
